asin,product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_url,product_photo,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,delivery,has_variations
B0CX57QV91,"OUKITEL WP36 2024 Rugged Smartphone - 10600mAh Rugged Phone 128dB Loud Speaker, 16GB+128GB Dual Sim Phones 6.52&quot; Big Screen, Android 13 Cell Phone, NFC/OTG, T-mobile Compatible Rugged Smart Phone",$199.99,$219.99,USD,4.3,163,https://www.amazon.com/dp/B0CX57QV91,https://m.media-amazon.com/images/I/81fnPSUMu3L._AC_UY654_FMwebp_QL65_.jpg,1,$199.99,False,False,True,False,200+ bought in past month,"FREE delivery Sun, Aug 4 Or fastest delivery Thu, Aug 1",False
B097XTKYST,Smallest Mobile Phone L8Star BM70 Tiny Mini Mobile White Unlocked,$23.99,,USD,3.5,1129,https://www.amazon.com/dp/B097XTKYST,https://m.media-amazon.com/images/I/61InzF7BgGL._AC_UY654_FMwebp_QL65_.jpg,1,$23.99,False,False,True,False,,"FREE delivery Sun, Aug 4 on $35 of items shipped by AmazonOr fastest delivery Thu, Aug 1",False
B0CSGK59ZB,"Panasonic Corded/Cordless Phone with Advanced Call Block, 2-Way Recording and Digital Answering Machine, 2 Handsets Expandable up to 6 Cordless Handsets - KX-TGF852B (Black)",$99.99,,USD,4.4,92,https://www.amazon.com/dp/B0CSGK59ZB,https://m.media-amazon.com/images/I/81ngV9Xg7hL._AC_UY654_FMwebp_QL65_.jpg,3,$85.55,False,False,True,False,400+ bought in past month,"FREE delivery Sun, Aug 4 Or fastest delivery Thu, Aug 1",False
B0CN6Q9D6T,"AGM M9 4G Rugged Basic Cell Phone, Large Button Cell Phones for Seniors, IP68/IP69K Waterproof, 1.8M Drop-Proof, Large Fonts, Fast Dialling, 3 Card Slots, FM Radio, Torch, 1000 mAh, for T-Mobile Only",$49.99,$79.99,USD,3.9,203,https://www.amazon.com/dp/B0CN6Q9D6T,https://m.media-amazon.com/images/I/61dqNLauyUL._AC_UY654_FMwebp_QL65_.jpg,1,$49.99,False,False,True,False,400+ bought in past month,"FREE delivery Sun, Aug 4 Or fastest delivery Thu, Aug 1",False
B086R819LS,"VTech IS8151-5 Super Long Range 5 Handset DECT 6.0 Cordless Phone for Home with Answering Machine, 2300 ft Range, Call Blocking, Bluetooth, Headset Jack, Power Backup, Intercom, Expandable to 12 HS",$149.45,$164.95,USD,4.2,8518,https://www.amazon.com/dp/B086R819LS,https://m.media-amazon.com/images/I/817N3Lf0hEL._AC_UY654_FMwebp_QL65_.jpg,4,$53.40,False,False,True,False,400+ bought in past month,"FREE delivery Sun, Aug 4 Or fastest delivery Thu, Aug 1",False
B0CXTBZWQH,"DOOGEE N55 Android 14 Cell Phone,9GB+128GB Expandable 1TB Android Phone,6.56&quot; HD+ 90Hz Unlocked cell Phone,5150mAh Battery,13MP+8MP,Dual SIM 4G Phone,Face Unlock,OTG/T-Mobile",$139.99,,USD,3.9,15,https://www.amazon.com/dp/B0CXTBZWQH,https://m.media-amazon.com/images/I/714nR39QJoL._AC_UY654_FMwebp_QL65_.jpg,1,$139.99,False,False,True,False,50+ bought in past month,"FREE delivery Sun, Aug 4 Or fastest delivery Thu, Aug 1",False
B0CCT15Z1F,Total by Verizon Motorola moto g Stylus (2023) Locked 64GB 5000mAh Battery 50MP Quad Pixel Camera 6.5-in. 90Hz Display Blue,$59.88,,USD,3.5,22,https://www.amazon.com/dp/B0CCT15Z1F,https://m.media-amazon.com/images/I/711NsNK4YeL._AC_UY654_FMwebp_QL65_.jpg,1,$59.88,False,False,True,False,,"FREE delivery Sun, Aug 4 Or fastest delivery Thu, Aug 1",False
B0CMDR2X3M,"SAMSUNG Galaxy S24+ Plus Cell Phone, 256GB AI Smartphone, Unlocked Android, 50MP Camera, Fastest Processor, Long Battery Life, US Version 2024 Cobalt Violet",$999.99,,USD,4.7,73,https://www.amazon.com/dp/B0CMDR2X3M,https://m.media-amazon.com/images/I/71jbE08QOLL._AC_UY654_FMwebp_QL65_.jpg,2,$745.19,False,False,True,True,1K+ bought in past month,"FREE delivery Sun, Aug 4 Or fastest delivery Thu, Aug 1",False
B004OA6X6C,"VTech LS6425-3 DECT 6.0 Expandable Cordless Phone with Answering System and Caller ID/Call Waiting, Silver with 3 Handsets",$67.41,$79.95,USD,4.4,2300,https://www.amazon.com/dp/B004OA6X6C,https://m.media-amazon.com/images/I/71M3vmib3OS._AC_UY654_FMwebp_QL65_.jpg,54,$46.95,False,False,False,False,200+ bought in past month,"FREE delivery Thu, Aug 1",False
B0CZLFDWJZ,"UMIDIGI Unlocked Cell Phone, G5 Android 13 Smartphones, 5000mAh 8+128GB/TF 1TB Expand, Ultra-Slim 6.6&quot; Screen Unlocked Phones, 50MP AI Camera Fingerprint/Face Unlocked 4G Dual SIM Mobile Phones",$139.99,,USD,4,109,https://www.amazon.com/dp/B0CZLFDWJZ,https://m.media-amazon.com/images/I/71wE1X+3s0L._AC_UY654_FMwebp_QL65_.jpg,1,$139.99,False,False,True,False,,"FREE delivery Sun, Aug 4 Or fastest delivery Thu, Aug 1",True
